measure_time,block_height
2024-01-17 13:05:34.13790,1
2024-01-17 13:05:38.27819,1
2024-01-17 13:05:42.30279,1
2024-01-17 13:05:46.34322,1
2024-01-17 13:05:50.37816,1
2024-01-17 13:05:54.42136,1
2024-01-17 13:05:58.47376,1
2024-01-17 13:06:02.63152,1
2024-01-17 13:06:06.65630,1
2024-01-17 13:06:10.69423,1
2024-01-17 13:06:15.23490,1
2024-01-17 13:06:19.28276,1
2024-01-17 13:06:23.31261,1
2024-01-17 13:06:27.60317,1
2024-01-17 13:06:31.64294,1
2024-01-17 13:06:35.25945,1
2024-01-17 13:06:39.20294,4
2024-01-17 13:06:48.07319,8
2024-01-17 13:06:52.30022,12
2024-01-17 13:06:57.28154,14
2024-01-17 13:07:01.31183,14
2024-01-17 13:07:05.35328,14
2024-01-17 13:07:09.39177,14
2024-01-17 13:07:13.12714,14
2024-01-17 13:07:14.15779,16
2024-01-17 13:07:18.42519,18
2024-01-17 13:07:22.45587,18
2024-01-17 13:07:26.48469,18
2024-01-17 13:07:29.65256,20
2024-01-17 13:07:35.44988,24
2024-01-17 13:07:40.76457,28
2024-01-17 13:07:45.57503,30
2024-01-17 13:07:49.59776,30
2024-01-17 13:07:53.64535,30
2024-01-17 13:07:57.67897,30
2024-01-17 13:08:01.73321,30
2024-01-17 13:08:05.77564,30
2024-01-17 13:08:09.82660,30
2024-01-17 13:08:13.87616,30
2024-01-17 13:08:17.92038,30
2024-01-17 13:08:21.96672,30
2024-01-17 13:08:26.00671,30
2024-01-17 13:08:30.05467,30
2024-01-17 13:08:34.09790,30
2024-01-17 13:08:38.13661,30
2024-01-17 13:08:42.17880,30
2024-01-17 13:08:46.21966,30
2024-01-17 13:08:50.26278,30
2024-01-17 13:08:54.31821,30
2024-01-17 13:08:58.36180,30
2024-01-17 13:09:02.40815,30
2024-01-17 13:09:06.45184,30
2024-01-17 13:09:10.55531,30
2024-01-17 13:09:14.59107,30
2024-01-17 13:09:18.63911,30
2024-01-17 13:09:22.67998,30
2024-01-17 13:09:26.76023,30
2024-01-17 13:09:30.80830,30
2024-01-17 13:09:34.84447,30
2024-01-17 13:09:38.87814,30
2024-01-17 13:09:42.92356,30
2024-01-17 13:09:46.96500,30
2024-01-17 13:09:51.01244,30
2024-01-17 13:09:55.05088,30
2024-01-17 13:09:59.09658,30
2024-01-17 13:10:03.14066,30
2024-01-17 13:10:07.18261,30
2024-01-17 13:10:11.21062,30
2024-01-17 13:10:15.23949,30
2024-01-17 13:10:19.27702,30
2024-01-17 13:10:23.31571,30
2024-01-17 13:10:27.34540,30
2024-01-17 13:10:31.38085,30
2024-01-17 13:10:35.41101,30
2024-01-17 13:10:39.45071,30
2024-01-17 13:10:43.48953,30
2024-01-17 13:10:47.53387,30
2024-01-17 13:10:51.57544,30
2024-01-17 13:10:55.61509,30
2024-01-17 13:10:59.65459,30
2024-01-17 13:11:03.69445,30
2024-01-17 13:11:07.73209,30
2024-01-17 13:11:11.76965,30
2024-01-17 13:11:15.81220,30
2024-01-17 13:11:19.85813,30
2024-01-17 13:11:23.92003,30
2024-01-17 13:11:27.95371,30
2024-01-17 13:11:31.98819,30
2024-01-17 13:11:36.02427,30
2024-01-17 13:11:40.06074,30
2024-01-17 13:11:44.11189,30
2024-01-17 13:11:48.14735,30
2024-01-17 13:11:52.17782,30
2024-01-17 13:11:56.21286,30
2024-01-17 13:12:00.29696,30
2024-01-17 13:12:04.35812,30
2024-01-17 13:12:08.54709,30
2024-01-17 13:12:12.57665,30
2024-01-17 13:12:16.61345,30
2024-01-17 13:12:20.65570,30
2024-01-17 13:12:24.72549,30
2024-01-17 13:12:28.77751,30
2024-01-17 13:12:32.84230,30
2024-01-17 13:12:36.88253,30
2024-01-17 13:12:40.91240,30
2024-01-17 13:12:44.94552,30
2024-01-17 13:12:48.98035,30
2024-01-17 13:12:53.01816,30
2024-01-17 13:12:57.04845,30
2024-01-17 13:13:01.08086,30
2024-01-17 13:13:05.12427,30
2024-01-17 13:13:09.16719,30
2024-01-17 13:13:13.20855,30
2024-01-17 13:13:17.24876,30
2024-01-17 13:13:21.29029,30
2024-01-17 13:13:25.33241,30
2024-01-17 13:13:29.37371,30
2024-01-17 13:13:33.41627,30
2024-01-17 13:13:37.44917,30
2024-01-17 13:13:41.49342,30
2024-01-17 13:13:45.53317,30
2024-01-17 13:13:49.57500,30
2024-01-17 13:13:53.61110,30
2024-01-17 13:13:57.94530,30
2024-01-17 13:14:01.99651,30
2024-01-17 13:14:06.26156,30
2024-01-17 13:14:10.29485,30
2024-01-17 13:14:14.34004,30
2024-01-17 13:14:18.40758,30
2024-01-17 13:14:22.43392,30
2024-01-17 13:14:26.49087,30
2024-01-17 13:14:30.52497,30
2024-01-17 13:14:34.56014,30
2024-01-17 13:14:38.60680,30
2024-01-17 13:14:42.65079,30
2024-01-17 13:14:46.68458,30
2024-01-17 13:14:50.71147,30
2024-01-17 13:14:54.73909,30
2024-01-17 13:14:58.77187,30
2024-01-17 13:15:02.80051,30
2024-01-17 13:15:06.83102,30
2024-01-17 13:15:10.87376,30
2024-01-17 13:15:14.91319,30
2024-01-17 13:15:18.98030,30
2024-01-17 13:15:23.01435,30
2024-01-17 13:15:27.05909,30
2024-01-17 13:15:31.11850,30
2024-01-17 13:15:35.17358,30
2024-01-17 13:15:39.21786,30
2024-01-17 13:15:43.25676,30
2024-01-17 13:15:47.36451,30
2024-01-17 13:15:51.41431,30
2024-01-17 13:15:55.45569,30
2024-01-17 13:15:59.50754,30
2024-01-17 13:16:03.54729,30
2024-01-17 13:16:07.59957,30
2024-01-17 13:16:11.64122,30
2024-01-17 13:16:15.67431,30
2024-01-17 13:16:19.72396,30
2024-01-17 13:16:23.77049,30
2024-01-17 13:16:27.80937,30
2024-01-17 13:16:31.87705,30
2024-01-17 13:16:35.92884,30
2024-01-17 13:16:39.96521,30
2024-01-17 13:16:44.00432,30
2024-01-17 13:16:48.04537,30
2024-01-17 13:16:52.08848,30
2024-01-17 13:16:56.12299,30
2024-01-17 13:17:00.18284,30
2024-01-17 13:17:04.21279,30
2024-01-17 13:17:08.24447,30
2024-01-17 13:17:12.28249,30
2024-01-17 13:17:16.31328,30
2024-01-17 13:17:20.42497,30
2024-01-17 13:17:24.46064,30
2024-01-17 13:17:28.49348,30
2024-01-17 13:17:32.52490,30
2024-01-17 13:17:36.57582,30
2024-01-17 13:17:40.62921,30
2024-01-17 13:17:44.67644,30
2024-01-17 13:17:48.71826,30
2024-01-17 13:17:52.75090,30
2024-01-17 13:17:56.79138,30
2024-01-17 13:18:00.83071,30
2024-01-17 13:18:04.87475,30
2024-01-17 13:18:08.92408,30
2024-01-17 13:18:12.95713,30
2024-01-17 13:18:16.99875,30
2024-01-17 13:18:21.06172,30
2024-01-17 13:18:25.09566,30
2024-01-17 13:18:29.13316,30
2024-01-17 13:18:33.17752,30
2024-01-17 13:18:37.22456,30
2024-01-17 13:18:41.26606,30
2024-01-17 13:18:45.30950,30
2024-01-17 13:18:49.35527,30
2024-01-17 13:18:53.94434,30
2024-01-17 13:18:57.98422,30
2024-01-17 13:19:02.02641,30
2024-01-17 13:19:06.06185,30
2024-01-17 13:19:10.09668,30
2024-01-17 13:19:14.13080,30
2024-01-17 13:19:18.16006,30
2024-01-17 13:19:22.19651,30
2024-01-17 13:19:26.22964,30
2024-01-17 13:19:30.26212,30
2024-01-17 13:19:34.29398,30
2024-01-17 13:19:38.33380,30
2024-01-17 13:19:42.39171,30
2024-01-17 13:19:46.43231,30
2024-01-17 13:19:50.51555,30
2024-01-17 13:19:54.55867,30
2024-01-17 13:19:58.61269,30
2024-01-17 13:20:02.65321,30
2024-01-17 13:20:06.69188,30
2024-01-17 13:20:10.73076,30
2024-01-17 13:20:14.76300,30
2024-01-17 13:20:18.79906,30
2024-01-17 13:20:22.83722,30
2024-01-17 13:20:26.91903,30
2024-01-17 13:20:30.96132,30
2024-01-17 13:20:35.00878,30
2024-01-17 13:20:39.04123,30
2024-01-17 13:20:43.08892,30
2024-01-17 13:20:47.13397,30
2024-01-17 13:20:51.17620,30
2024-01-17 13:20:55.21415,30
2024-01-17 13:20:59.26066,30
2024-01-17 13:21:03.30220,30
2024-01-17 13:21:07.34877,30
2024-01-17 13:21:11.39298,30
2024-01-17 13:21:15.42981,30
2024-01-17 13:21:19.46557,30
2024-01-17 13:21:23.50465,30
2024-01-17 13:21:27.54056,30
2024-01-17 13:21:31.57933,30
2024-01-17 13:21:35.62574,30
2024-01-17 13:21:39.65707,30
2024-01-17 13:21:43.69504,30
