block_height,pbft_start,pbft_end,pbft_cost,type
1,2024-01-17 13:06:35.26013,2024-01-17 13:06:35.27862,0.001849s,PBFT
2,2024-01-17 13:06:35.88485,2024-01-17 13:06:36.79697,0.991212s,PBFT
3,2024-01-17 13:06:37.55386,2024-01-17 13:06:39.03718,1.948332s,PBFT
4,2024-01-17 13:06:39.20548,2024-01-17 13:06:41.77020,2.056472s,PBFT
5,2024-01-17 13:06:39.20548,2024-01-17 13:06:43.29146,4.008598s,PBFT
6,2024-01-17 13:06:39.20548,2024-01-17 13:06:45.90504,6.069956s,PBFT
7,2024-01-17 13:06:39.20548,2024-01-17 13:06:47.62863,8.042315s,PBFT
8,2024-01-17 13:06:48.07800,2024-01-17 13:06:48.81624,0.073824s,PBFT
9,2024-01-17 13:06:48.07800,2024-01-17 13:06:49.88465,1.080665s,PBFT
10,2024-01-17 13:06:48.07800,2024-01-17 13:06:50.95275,2.087475s,PBFT
11,2024-01-17 13:06:48.07800,2024-01-17 13:06:51.93120,3.085320s,PBFT
12,2024-01-17 13:06:52.30246,2024-01-17 13:06:52.96324,0.066078s,PBFT
13,2024-01-17 13:06:52.30246,2024-01-17 13:06:54.25096,1.994850s,PBFT
14,2024-01-17 13:07:13.12821,2024-01-17 13:07:13.14003,0.001182s,PBFT
15,2024-01-17 13:07:13.12821,2024-01-17 13:07:13.65565,0.052744s,PBFT
16,2024-01-17 13:07:14.15947,2024-01-17 13:07:14.44588,0.028641s,PBFT
17,2024-01-17 13:07:14.15947,2024-01-17 13:07:15.29359,1.013412s,PBFT
18,2024-01-17 13:07:27.99599,2024-01-17 13:07:28.01166,0.901567s,PBFT
19,2024-01-17 13:07:27.99599,2024-01-17 13:07:28.90794,0.991195s,PBFT
20,2024-01-17 13:07:29.65624,2024-01-17 13:07:30.25162,0.959538s,PBFT
21,2024-01-17 13:07:29.65624,2024-01-17 13:07:31.98106,2.032482s,PBFT
22,2024-01-17 13:07:32.69489,2024-01-17 13:07:33.43084,0.973595s,PBFT
23,2024-01-17 13:07:34.29989,2024-01-17 13:07:34.95632,0.065643s,PBFT
24,2024-01-17 13:07:35.45280,2024-01-17 13:07:36.30234,0.984954s,PBFT
25,2024-01-17 13:07:35.45280,2024-01-17 13:07:38.33749,2.988469s,PBFT
26,2024-01-17 13:07:38.92842,2024-01-17 13:07:39.55608,0.962766s,PBFT
27,2024-01-17 13:07:38.92842,2024-01-17 13:07:40.43949,1.951107s,PBFT
28,2024-01-17 13:07:40.76773,2024-01-17 13:07:41.44696,0.967923s,PBFT
29,2024-01-17 13:07:40.76773,2024-01-17 13:07:42.43862,1.967089s,PBFT
