start_time,end_time,block_height,block_hash,write_duration
2024-01-17 13:06:35.28264,2024-01-17 13:06:35.28320,1,6d028d332eacdf1b1dfa64cc9e47040465bd2cda96ff09338af16631f203a9b9,0.000056s
2024-01-17 13:06:36.80834,2024-01-17 13:06:36.82007,2,36ab61365fa8f28e4ccbd0345bcf73020429887e2309c18d6b270c74ff96f185,0.001173s
2024-01-17 13:06:39.04949,2024-01-17 13:06:39.08943,3,3b91fdf219fca71e2df2995d5f2621d0e932b40910bf8fccdd0aa738817fba9b,0.003994s
2024-01-17 13:06:41.78426,2024-01-17 13:06:41.81849,4,e023b41d447f7839d69d77da8cb67016bf72bcbe7a6f74918e77208b3f95bc0e,0.003423s
2024-01-17 13:06:43.29554,2024-01-17 13:06:43.35157,5,eba298e52d6a236aef21a56a8f2e7b14e77879cfd438d5e9db59239c207b4e6c,0.005603s
2024-01-17 13:06:45.91759,2024-01-17 13:06:45.96695,6,dd8b0f586634b358e5cd30f522422034089d16249e436ba1a4af4849508173bc,0.004936s
2024-01-17 13:06:47.63610,2024-01-17 13:06:47.71192,7,b41eff0fcd60e2b32eff5f2f0dcb830f56276baf12f647889e46e2ba59c938b4,0.007582s
2024-01-17 13:06:48.81994,2024-01-17 13:06:48.85437,8,2b36b45613479d72d3481944a2b40df9534d461ab0f1fe31d877e739e9d54d55,0.003443s
2024-01-17 13:06:49.88767,2024-01-17 13:06:49.92205,9,32b7c51509b921d483d26aeadeb947c018e867a161c39708baee5caa627249e1,0.003438s
2024-01-17 13:06:50.95609,2024-01-17 13:06:50.99431,10,55674041e5ef3a7f292ff6bc4a9251be25c0cca2e6c8243fc6b5f05aab0dd105,0.003822s
2024-01-17 13:06:51.93455,2024-01-17 13:06:51.99723,11,0228a2d267a0bb3095cc57b3bd779267494102561e26f2c439dc5ab1b0b20cea,0.006268s
2024-01-17 13:06:52.96718,2024-01-17 13:06:52.99909,12,af8ac46c521cbb987954861cd396a0e6183082485e97c76f77351977cc363964,0.003191s
2024-01-17 13:06:54.25128,2024-01-17 13:06:54.25415,13,478b614f060e2cb71d21a72e751c5e5c14d9c7da88904fc9798da04cb6a058fe,0.000287s
2024-01-17 13:07:13.14161,2024-01-17 13:07:13.14244,14,587d0ad6856fa52d81b9f48e6c191687bafa708ae4bf84f29c3a6aee38f6b2fd,0.000083s
2024-01-17 13:07:13.65605,2024-01-17 13:07:13.65660,15,1797dc50c910839487a1f33d24a593d64beee26d1e45d2f9a4bd82b57ccb35d4,0.000055s
2024-01-17 13:07:14.44740,2024-01-17 13:07:14.47013,16,7622143b34ea4b48820b49c94e2a6ce187a34997853844a9e07d866eeec2cd26,0.002273s
2024-01-17 13:07:15.29516,2024-01-17 13:07:15.30089,17,921f87c59f4a85a77a8b7869b00e8390ba87233b0f4b87f21d2e20fa6c40c68b,0.000573s
2024-01-17 13:07:28.01255,2024-01-17 13:07:28.01411,18,64850c2704db9f746fedd6afd0505d0658b5e03ce5767caa12f7b777f9a4a9c8,0.000156s
2024-01-17 13:07:28.90952,2024-01-17 13:07:28.91921,19,839b3130da604f4ede2aabce2fd25ac2fd0ebacec1ec399c1e13d8e43a131924,0.000969s
2024-01-17 13:07:30.26108,2024-01-17 13:07:30.27053,20,eaff15d436164489033bfcefd05eae03356042dae90d1e1fa5af2f4e0020f4f3,0.000945s
2024-01-17 13:07:31.98979,2024-01-17 13:07:32.02175,21,2e79b12bcd611d1f8c5d8f4894905f76b1fc5cf672f654ac35dbf963f08f140f,0.903196s
2024-01-17 13:07:33.43689,2024-01-17 13:07:33.47606,22,2ecc1c1585f9dccf7e42cc3f56fa9cd98a982ddf0aacdf171d63d3c7aecb792c,0.003917s
2024-01-17 13:07:34.96507,2024-01-17 13:07:34.99379,23,1f2aaa67c6155b800ef7c8d53c52567ec66cabbf9e2feab3c0022c0e127e3218,0.002872s
2024-01-17 13:07:36.30706,2024-01-17 13:07:36.36889,24,fa2a707e8a13e01e0c87f6b610e850ce654ff0c4025ff8899be7fa2cc9a1f060,0.006183s
2024-01-17 13:07:38.34581,2024-01-17 13:07:38.37325,25,3c2d310bfa18c1058c33ee7a160dbe455d3f60148bbbfa53f10d6a2e4e824f62,0.002744s
2024-01-17 13:07:39.56107,2024-01-17 13:07:39.58315,26,8708d0c23e9426e7b3513215293a2140e5db5b13d60ac022ecc82b32b733794e,0.002208s
2024-01-17 13:07:40.44449,2024-01-17 13:07:40.45688,27,61300447edf59861b815f2e14580f3058cf980443a4b54a0affc01901ee8b08b,0.001239s
2024-01-17 13:07:41.45058,2024-01-17 13:07:41.47047,28,7d1a43869d3aa3de4fcd4500f6c9c532e85e1344456bee25c237b043805a9073,0.001989s
2024-01-17 13:07:42.44008,2024-01-17 13:07:42.44523,29,fdedb9a2b5faa998f5e198f6c1abd82dc5f9378f5389a0888b834cb5c2bb8258,0.000515s
