measure_time,action_type,message_type,message_size
2024-01-17 13:05:31.10274,Received,P2P,93
2024-01-17 13:05:31.11570,Received,P2P,990
2024-01-17 13:05:31.11610,Received,P2P,206
2024-01-17 13:05:31.12751,Sent,P2P,93
2024-01-17 13:05:31.12770,Sent,P2P,93
2024-01-17 13:05:31.12930,Sent,P2P,273
2024-01-17 13:05:31.12937,Sent,P2P,273
2024-01-17 13:05:31.12996,Received,P2P,206
2024-01-17 13:05:31.13099,Received,P2P,206
2024-01-17 13:05:31.13108,Received,P2P,206
2024-01-17 13:05:31.14369,Received,P2P,93
2024-01-17 13:05:32.10818,Received,P2P,93
2024-01-17 13:05:32.13091,Sent,P2P,93
2024-01-17 13:05:32.13100,Sent,P2P,93
2024-01-17 13:05:32.13231,Received,P2P,989
2024-01-17 13:05:32.13240,Received,P2P,989
2024-01-17 13:05:32.13258,Received,P2P,206
2024-01-17 13:05:32.13289,Received,P2P,206
2024-01-17 13:05:32.13298,Sent,P2P,273
2024-01-17 13:05:32.13303,Sent,P2P,273
2024-01-17 13:05:32.14817,Received,P2P,93
2024-01-17 13:05:33.11232,Received,P2P,93
2024-01-17 13:05:33.13522,Received,P2P,990
2024-01-17 13:05:33.13536,Sent,P2P,93
2024-01-17 13:05:33.13543,Sent,P2P,93
2024-01-17 13:05:33.13536,Received,P2P,206
2024-01-17 13:05:33.13601,Sent,P2P,273
2024-01-17 13:05:33.13610,Sent,P2P,273
2024-01-17 13:05:33.13632,Received,P2P,206
2024-01-17 13:05:33.13711,Received,P2P,206
2024-01-17 13:05:33.15345,Received,P2P,93
2024-01-17 13:05:34.11706,Received,P2P,93
2024-01-17 13:05:34.13846,Sent,P2P,93
2024-01-17 13:05:34.13862,Sent,P2P,93
2024-01-17 13:05:34.14046,Sent,P2P,629
2024-01-17 13:05:34.14072,Sent,P2P,629
2024-01-17 13:05:34.14192,Sent,P2P,273
2024-01-17 13:05:34.14204,Sent,P2P,273
2024-01-17 13:05:34.14530,Received,P2P,206
2024-01-17 13:05:34.15021,Received,P2P,206
2024-01-17 13:05:34.15787,Received,P2P,93
2024-01-17 13:05:34.96239,Received,P2P,17
2024-01-17 13:05:34.96268,Sent,P2P,17
2024-01-17 13:05:34.96514,Sent,P2P,17
2024-01-17 13:05:34.96640,Received,P2P,17
2024-01-17 13:05:35.12084,Received,P2P,93
2024-01-17 13:05:35.13914,Sent,P2P,93
2024-01-17 13:05:35.13976,Sent,P2P,93
